seed,aligner_size,aligner_kind,aligner_params,lr,bl_gain,c2_raw_gain,group_a_gain,closed_loop_gain,closed_loop_acc_t1,closed_loop_acc_t3,cosine_to_self_t2,cosine_to_self_t3,epochs_run,best_epoch,best_val_loss,elapsed_s,aligned_logits_norm_t2,aligned_logits_norm_t3,aligned_logits_max_abs_t2,aligned_logits_max_abs_t3,feedback_norm_t2,feedback_norm_t3,tanh_saturation_fraction_t2,tanh_saturation_fraction_t3
0,affine,donor_fed,30,0.01,0.1350000500679016,-0.059999942779541016,-0.02499997615814209,0.23000001907348633,0.6549999713897705,0.8849999904632568,-0.004787325223607777,0.22268999152703287,751,650,0.5595343503572707,2.3357508182525635,5.658297185289261,8.026860606115097,11.069929168557053,15.743640890385262,1.52511491431126,1.6976435760329085,0.12099999934434891,0.23600000143051147
0,MLP-small,donor_fed,181,0.01,0.1350000500679016,-0.059999942779541016,-0.02499997615814209,0.2250000238418579,0.6549999713897705,0.8799999952316284,0.04107460009560139,0.2792122356314904,585,484,0.5042474781142225,2.0678727626800537,9.19893416618487,12.565266572650184,15.667152434770552,21.459206516206162,1.7731684260009541,1.9385115100236947,0.36000001430511475,0.5099999904632568
0,MLP-medium,donor_fed,4869,0.01,0.1350000500679016,-0.059999942779541016,-0.02499997615814209,0.2250000238418579,0.6549999713897705,0.8799999952316284,0.07006312503975734,0.3002570775428168,216,115,0.49976429428753405,1.3603384494781494,11.70389306855112,16.443675375680705,20.927871427486547,32.66936785473941,1.7960275660144538,1.9614341688344967,0.41200000047683716,0.5680000185966492
0,MLP-large,donor_fed,17925,0.01,0.1350000500679016,-0.059999942779541016,-0.02499997615814209,0.2250000238418579,0.6549999713897705,0.8799999952316284,0.06825874144970362,0.2669371900660171,143,42,0.5067289349838586,1.7511889934539795,10.073606207223042,15.099784797024473,17.91262134971044,26.447516082929138,1.7726869117415753,1.949486176044445,0.3779999911785126,0.5960000157356262
1,affine,donor_fed,30,0.01,0.19499999284744263,0.034999966621398926,-0.01500004529953003,0.20499998331069946,0.6700000166893005,0.875,0.33067702070250815,0.37014520162577325,819,718,0.40184564134113165,2.5249125957489014,4.867507539805575,5.839093003490865,8.153141316433647,10.287424829357594,1.4199038000212512,1.5876945430894016,0.0989999994635582,0.13600000739097595
1,MLP-small,donor_fed,181,0.01,0.19499999284744263,0.034999966621398926,-0.01500004529953003,0.22499996423721313,0.6700000166893005,0.8949999809265137,0.29285228712872313,0.35969518737338985,370,269,0.36519951410404256,1.2898919582366943,7.054576355626171,8.381707366949291,13.637770469297173,18.141427598349107,1.5660133871149207,1.7255938836017766,0.22200000286102295,0.3050000071525574
1,MLP-medium,donor_fed,4869,0.01,0.19499999284744263,0.034999966621398926,-0.01500004529953003,0.21999996900558472,0.6700000166893005,0.8899999856948853,0.29771838424312363,0.3577191993319309,149,48,0.3693475260269205,0.9077482223510742,7.5244300640937745,9.57575592587319,11.460834106126647,15.13970744570846,1.6213608254036933,1.775429550530721,0.27799999713897705,0.35499998927116394
1,MLP-large,donor_fed,17925,0.01,0.19499999284744263,0.034999966621398926,-0.01500004529953003,0.20999997854232788,0.6700000166893005,0.8799999952316284,0.27563213018873983,0.3358935579003458,134,33,0.357808928081469,1.7055206298828125,9.31580594618015,12.333789193187634,12.500363154301754,17.91360463254682,1.7258499777085752,1.853198609359155,0.3529999852180481,0.4790000021457672
2,affine,donor_fed,30,0.01,0.125,-0.034999966621398926,0.04500001668930054,0.17000001668930054,0.574999988079071,0.7450000047683716,0.42594818133132223,0.5522530522156502,1856,1755,0.5852939493748183,5.718974351882935,11.093223195826509,14.771469595408107,27.079103049770676,24.576079005833655,1.890466660028708,1.9327626650491267,0.4180000126361847,0.5120000243186951
2,MLP-small,donor_fed,181,0.01,0.125,-0.034999966621398926,0.04500001668930054,0.17000001668930054,0.574999988079071,0.7450000047683716,0.44453128802255953,0.5736130462979501,630,529,0.5441538845113852,2.203824520111084,12.30389618232547,17.67533963569854,31.449321417795375,28.87091094198331,1.8305843695976494,1.9047758673472892,0.4399999976158142,0.5199999809265137
2,MLP-medium,donor_fed,4869,0.01,0.125,-0.034999966621398926,0.04500001668930054,0.1850000023841858,0.574999988079071,0.7599999904632568,0.46970192260433824,0.5767391501899368,362,261,0.5063528283746943,2.164384126663208,11.802206656005604,15.710677556254645,30.99391897028299,27.646426530082046,1.8618093884106657,1.9452811535530952,0.45100000500679016,0.5799999833106995
2,MLP-large,donor_fed,17925,0.01,0.125,-0.034999966621398926,0.04500001668930054,0.1899999976158142,0.574999988079071,0.7649999856948853,0.45264765788067124,0.570993713235941,184,83,0.5124656964955095,2.1850147247314453,9.306584957318053,13.124011605431196,25.26271134727765,22.29322576090591,1.7521050522054373,1.900427542186302,0.34700000286102295,0.49799999594688416
