seed,mode,n_states,sigma_max_mean,sigma_max_sd,sigma_min_mean,sigma_min_sd,kappa_mean,kappa_median,kappa_sd,fro_mean,nuc_mean,elapsed_s
0,clone,400,1.1312951302911265,0.3308531807183177,0.17369463141921787,0.15083536607712744,30.354623921447946,8.619182922441691,76.61562594693733,1.4993667271093196,2.8656303565493975,
0,normmatched_clone,400,1.1528202545947137,0.271427889584786,0.18346390321807815,0.1575927333504356,52.14985548697172,8.816160577061165,150.50517824719492,1.5554455706297978,2.9907252051125663,
0,self,400,1.1671967509984744,0.263015411758388,0.18932120459260632,0.15423039481548675,41.15316048619175,7.412502413997615,141.83314617421777,1.5336077036949127,2.8982041254923003,106.18143129348755
0,wrong_traj,400,1.170182450190538,0.2720059479867002,0.20304711915576726,0.15665753384266967,41.76641500168914,6.333509221323327,145.54381617458617,1.5402517542105307,2.9274792746916933,
1,clone,400,1.212825822927302,0.27950709912858557,0.2355929182152014,0.13333651426086268,27.943259228813712,4.795422371974612,164.1911778149882,1.6570496545462705,3.2314058567330313,
1,normmatched_clone,400,0.9390056152792786,0.3170248038552545,0.06904430986423456,0.08835959789450132,450.6815838870827,31.797260722934865,3504.7244573540697,1.1847722926841475,2.0902723263095755,
1,self,400,0.8857842212357373,0.3244136921290754,0.07688011606712682,0.08976271426651562,204.0704318551357,20.902722252425562,807.5577575593486,1.113118486255767,1.9511271456605142,106.13388156890869
1,wrong_traj,400,0.9139620823665737,0.3296632582818335,0.0798452716880832,0.0940088729863271,162.97876681925703,21.378951493922706,694.5620187323781,1.150995531075713,2.013583762933045,
2,clone,400,1.0459968879743016,0.20301191267948807,0.30283781140475585,0.20207634982281616,193.46538164436154,3.2047946954723803,1652.926646044607,1.5625433541408282,3.1442285515122204,
2,normmatched_clone,400,0.8653295458562507,0.2800786767917179,0.09743508420033606,0.13237380119903533,405.1038064054559,23.229099899585485,1913.6016443755896,1.1071715125982768,1.9262425392856029,
2,self,400,0.8839070231128494,0.21926399112065137,0.09389365767955983,0.13067592025017893,745.5334675762228,31.136583283003503,5365.303358949131,1.1498426094285115,2.006080664846629,107.72177004814148
2,wrong_traj,400,0.8728393649353342,0.21654269408168658,0.09449298686365036,0.13278016023662997,1060.8075336017737,32.5886854417988,6817.208829680512,1.1374575758721204,1.9837519418893903,
3,clone,400,1.3211880516364771,0.2223402593007871,0.15385059896566516,0.1189267223300513,45.35428138565579,9.321602503635392,165.62458755552834,1.7331089490835807,3.217329205675726,
3,normmatched_clone,400,1.1440217861433508,0.2904240425541776,0.0749540155635558,0.09340640028397858,2269.1650741512967,33.478863335748244,16288.65517713491,1.4128911552013494,2.4004049370168987,
3,self,400,1.262610153869374,0.20462849830865137,0.06636168636837046,0.0929067506716773,3128.257445808171,66.00907086091786,16267.691040077558,1.6066042450242157,2.77668155492501,106.63556003570557
3,wrong_traj,400,1.2530129950444155,0.21905553949203882,0.06183951255914029,0.08801360325344643,2590.6215033817525,80.11511012108286,11781.10196953352,1.588295969268093,2.7298424977531695,
4,clone,400,1.5350180730138265,0.26031721439792327,0.2438548696169539,0.11549932376749991,9.355462128045643,6.118163023946448,9.51529581816031,1.9313728050149406,3.570620093738397,
4,normmatched_clone,400,1.2386765114935896,0.366459629528763,0.07426237303032811,0.08511842445510719,152.85769322426452,31.467991324720543,735.7548899062263,1.451566033785449,2.3842867420929705,
4,self,400,1.2689038578619567,0.3467248458059752,0.06901551774932602,0.09208701204665157,520.0733506854181,50.88330661422178,2411.1309455208457,1.5729339495326087,2.6758246139233237,106.11752080917358
4,wrong_traj,400,1.2406649232861693,0.36020395027394936,0.07122407557335736,0.0996820765948103,499.3452789472474,52.468793153899675,2222.442991451884,1.5409305874747812,2.620662128841076,
5,clone,400,0.9710151061203789,0.3011209727877312,0.0669804939592309,0.10564657971067198,2450.669054589,64.85939966976184,10701.269126839108,1.1913319855326907,2.069457506069932,
5,normmatched_clone,400,1.1271265055188664,0.29896004694490014,0.12682466257506803,0.12988018516161476,1068.4376804993567,14.606406291913409,7984.439081027246,1.41395886296807,2.5956421300676493,
5,self,400,1.0034880133576731,0.3944398537335286,0.13164795536735027,0.11123945640999625,20.987159803631627,9.26651734967222,36.9669064874313,1.2641854164357484,2.3286857045714733,106.89748668670654
5,wrong_traj,400,1.0284198924958783,0.37398441026786056,0.1294628909454078,0.10776151144571901,19.27014557595795,9.881664020884545,28.6082387168309,1.2952070241708382,2.381241513817528,
6,clone,400,1.0793656580132867,0.2559129435845469,0.14389726624739363,0.1284698520085214,143.7450564503309,10.151565121948114,729.9115146548451,1.4692512110439953,2.7276784062020543,
6,normmatched_clone,400,1.1389767588650537,0.2297155872553293,0.20534572871065823,0.14009473712281428,40.38914911922774,5.173344870914329,168.35671257218536,1.6158938122189546,3.1202990612733066,
6,self,400,1.0625781391532003,0.23334854021283016,0.21553585571187772,0.1407108984409086,64.21659606084893,4.319367016469028,436.0546331489358,1.5318258491966161,3.0176523455078534,106.32836818695068
6,wrong_traj,400,1.0710459923082736,0.23204330365459666,0.21501520329250723,0.14476327251208557,75.74505802591463,4.289598832272888,561.9486767405267,1.5439007614197238,3.0412355848734625,
7,clone,400,1.1333893602976812,0.228926633289767,0.19811968054912074,0.15617149936076757,381.43094904408196,6.593006331576259,4689.203690054269,1.5543388206678321,3.0194298924079197,
7,normmatched_clone,400,1.040678398451066,0.26182912701342226,0.1353826871819652,0.1309309285173659,126.11979043287221,10.95969363242952,459.23628694098113,1.3892038567004883,2.6185441581894056,
7,self,400,1.0376653625845318,0.23413929396986188,0.14944485300336027,0.13488809483705297,70.22008349312618,9.313743660233317,298.23992129570814,1.3611405265682999,2.5303473219866697,107.64382672309875
7,wrong_traj,400,1.0562115355347839,0.23434533474621908,0.15328900231707293,0.13570974820001383,74.14070836106005,9.30363817356197,342.5138693972014,1.3831795709777555,2.5698197001924883,
8,clone,400,1.2042536065544205,0.23114695662312165,0.18919539160657628,0.16344737966664047,335.0421435657219,8.019403991789453,2295.3959207851112,1.6793613330942896,3.2417085254827303,
8,normmatched_clone,400,1.1209747148983606,0.2412803993672565,0.10230699270254245,0.11443324553019238,1707.6876712622097,21.23096311433735,18646.90137308778,1.5092152876988587,2.7911523301875327,
8,self,400,1.118224725050943,0.26412566857533565,0.11574163036386183,0.11327216971935067,7904.21112348367,14.49893150073862,120802.78959458593,1.4303400252768688,2.5873657072339413,107.50200295448303
8,wrong_traj,400,1.1377254816958127,0.2624426017039279,0.12282170574796997,0.11535444402236371,7728.023156630068,12.85700302076745,120781.30312161382,1.463952190136705,2.6714145426858544,
