seed,aligner_size,shuffled_donor_gain,acc_t1,acc_t3,shuffled_donor_gain_std,shuffled_donor_n_repeats,closed_loop_gain,bl_gain,c2_raw_gain
0,affine,-0.2963333090146383,0.7099999785423279,0.4136666695276896,0.03513357203002755,30,,0.21500003337860107,-0.13999998569488525
0,MLP-small,-0.3141666462024053,0.7099999785423279,0.3958333323399226,0.030486947953437853,30,,0.21500003337860107,-0.13999998569488525
0,MLP-medium,-0.3281666467587153,0.7099999785423279,0.38183333178361256,0.03262861165889022,30,,0.21500003337860107,-0.13999998569488525
0,MLP-large,-0.33816664616266884,0.7099999785423279,0.37183333237965904,0.036917505351061565,30,,0.21500003337860107,-0.13999998569488525
1,affine,-0.30500002205371857,0.7300000190734863,0.42499999701976776,0.028677756980276733,30,,0.1850000023841858,0.08499997854232788
1,MLP-small,-0.3418333540360133,0.7300000190734863,0.38816666503747305,0.027931053184529146,30,,0.1850000023841858,0.08499997854232788
1,MLP-medium,-0.30483334958553315,0.7300000190734863,0.4251666694879532,0.03214952853296173,30,,0.1850000023841858,0.08499997854232788
1,MLP-large,-0.31266668637593586,0.7300000190734863,0.41733333269755046,0.029528867707943277,30,,0.1850000023841858,0.08499997854232788
2,affine,-0.2286666949590047,0.7200000286102295,0.4913333336512248,0.03189242172909621,30,,0.18499994277954102,-0.050000011920928955
2,MLP-small,-0.2680000285307566,0.7200000286102295,0.4520000000794729,0.036022022854366384,30,,0.18499994277954102,-0.050000011920928955
2,MLP-medium,-0.2620000272989273,0.7200000286102295,0.4580000013113022,0.030726826068943253,30,,0.18499994277954102,-0.050000011920928955
2,MLP-large,-0.27166669368743895,0.7200000286102295,0.44833333492279054,0.029980840420240153,30,,0.18499994277954102,-0.050000011920928955
3,affine,-0.1936666468779246,0.7149999737739563,0.5213333268960317,0.025357218208709665,30,,0.1950000524520874,-0.02499997615814209
3,MLP-small,-0.18716664612293243,0.7149999737739563,0.5278333276510239,0.036310050826105805,30,,0.1950000524520874,-0.02499997615814209
3,MLP-medium,-0.1866666356722514,0.7149999737739563,0.5283333381017049,0.03548514151432248,30,,0.1950000524520874,-0.02499997615814209
3,MLP-large,-0.1918333113193512,0.7149999737739563,0.5231666624546051,0.029898776736053484,30,,0.1950000524520874,-0.02499997615814209
4,affine,-0.2626666933298111,0.7200000286102295,0.4573333352804184,0.0248350894508715,30,,0.22499996423721313,-0.32500001788139343
4,MLP-small,-0.22533336480458577,0.7200000286102295,0.4946666638056437,0.026094432894606022,30,,0.22499996423721313,-0.32500001788139343
4,MLP-medium,-0.2886666943629583,0.7200000286102295,0.4313333342472712,0.024457331131870937,30,,0.22499996423721313,-0.32500001788139343
4,MLP-large,-0.2906666954358419,0.7200000286102295,0.4293333331743876,0.02608782899683692,30,,0.22499996423721313,-0.32500001788139343
5,affine,-0.09100001056989034,0.675000011920929,0.5840000013510386,0.024684214399572836,30,,0.19999998807907104,-0.15000003576278687
5,MLP-small,-0.10716668168703715,0.675000011920929,0.5678333302338918,0.024129082263430746,30,,0.19999998807907104,-0.15000003576278687
5,MLP-medium,-0.12850001454353333,0.675000011920929,0.5464999973773956,0.021938395255846625,30,,0.19999998807907104,-0.15000003576278687
5,MLP-large,-0.11633334755897522,0.675000011920929,0.5586666643619538,0.023375986622765875,30,,0.19999998807907104,-0.15000003576278687
6,affine,-0.0883333295583725,0.5049999952316284,0.41666666567325594,0.023973163216684832,30,,0.07499998807907104,0.04000002145767212
6,MLP-small,-0.1158333291610082,0.5049999952316284,0.3891666660706202,0.02453299223038264,30,,0.07499998807907104,0.04000002145767212
6,MLP-medium,-0.1436666617790858,0.5049999952316284,0.36133333345254265,0.023958773839506755,30,,0.07499998807907104,0.04000002145767212
6,MLP-large,-0.13799999455610912,0.5049999952316284,0.3670000006755193,0.024268611238109288,30,,0.07499998807907104,0.04000002145767212
7,affine,-0.34516665438810984,0.824999988079071,0.4798333336909612,0.031086179639181158,30,,0.125,-0.050000011920928955
7,MLP-small,-0.3721666554609934,0.824999988079071,0.4528333326180776,0.033750690961841086,30,,0.125,-0.050000011920928955
7,MLP-medium,-0.3696666578451792,0.824999988079071,0.45533333023389183,0.03729965596924652,30,,0.125,-0.050000011920928955
7,MLP-large,-0.37383332252502444,0.824999988079071,0.4511666655540466,0.0368052480005849,30,,0.125,-0.050000011920928955
8,affine,-0.20749999284744264,0.824999988079071,0.6174999952316285,0.03125948339802055,30,,0.14500004053115845,-0.014999985694885254
8,MLP-small,-0.2289999842643738,0.824999988079071,0.5960000038146973,0.025710594886995394,30,,0.14500004053115845,-0.014999985694885254
8,MLP-medium,-0.25433331926663716,0.824999988079071,0.5706666688124339,0.03087051320958539,30,,0.14500004053115845,-0.014999985694885254
8,MLP-large,-0.24666665395100912,0.824999988079071,0.578333334128062,0.03294020524086107,30,,0.14500004053115845,-0.014999985694885254
9,affine,-0.23616665105024973,0.6399999856948853,0.4038333346446355,0.03326185009287842,30,,0.27000004053115845,-0.17999997735023499
9,MLP-small,-0.2498333215713501,0.6399999856948853,0.3901666641235352,0.028961427711910296,30,,0.27000004053115845,-0.17999997735023499
9,MLP-medium,-0.26049998799959817,0.6399999856948853,0.3794999976952871,0.028688274286835777,30,,0.27000004053115845,-0.17999997735023499
9,MLP-large,-0.25933332145214083,0.6399999856948853,0.3806666642427444,0.03019286482804462,30,,0.27000004053115845,-0.17999997735023499
