seed,aligner_size,lr,aligner_kind,best_val_loss,best_epoch,epochs_run,elapsed_s
0,affine,0.01,donor_fed,0.3003648083175888,732,833,2.6823196411132812
0,affine,0.001,donor_fed,0.311332902614545,1999,2000,6.405710220336914
0,affine,0.0001,donor_fed,0.4177341176167079,1999,2000,6.446672201156616
0,MLP-small,0.01,donor_fed,0.2807659593413999,258,359,1.321098804473877
0,MLP-small,0.001,donor_fed,0.28324775169842686,1097,1198,4.411101579666138
0,MLP-small,0.0001,donor_fed,0.3174819860496584,1999,2000,7.222649097442627
0,MLP-medium,0.01,donor_fed,0.2659351615366956,89,190,1.1555824279785156
0,MLP-medium,0.001,donor_fed,0.2774772728848541,299,400,2.5113940238952637
0,MLP-medium,0.0001,donor_fed,0.2792985104501363,1999,2000,12.37008285522461
0,MLP-large,0.01,donor_fed,0.2595216143659769,79,180,2.150104522705078
0,MLP-large,0.001,donor_fed,0.27162770385998986,219,320,3.9427285194396973
0,MLP-large,0.0001,donor_fed,0.28068681199540507,1499,1600,17.850527048110962
1,affine,0.01,donor_fed,0.2299012321292447,273,374,1.1973061561584473
1,affine,0.001,donor_fed,0.23746460326294924,1998,2000,6.4218668937683105
1,affine,0.0001,donor_fed,0.5935898265136066,1999,2000,6.481348752975464
1,MLP-small,0.01,donor_fed,0.1982614249419591,356,457,1.7094995975494385
1,MLP-small,0.001,donor_fed,0.206764474754047,1457,1558,5.621960639953613
1,MLP-small,0.0001,donor_fed,0.2689997503400189,1999,2000,7.211287498474121
1,MLP-medium,0.01,donor_fed,0.19351564621463457,46,147,0.89786696434021
1,MLP-medium,0.001,donor_fed,0.20483279422097764,367,468,2.7957916259765625
1,MLP-medium,0.0001,donor_fed,0.21416791988473655,1999,2000,12.23188304901123
1,MLP-large,0.01,donor_fed,0.19801677692894834,30,131,1.5584115982055664
1,MLP-large,0.001,donor_fed,0.2037828272582609,180,281,3.301478862762451
1,MLP-large,0.0001,donor_fed,0.20765006203527636,1610,1711,19.49040412902832
2,affine,0.01,donor_fed,0.2844482037688015,904,1005,3.1845271587371826
2,affine,0.001,donor_fed,0.31483981231077424,1999,2000,6.559387445449829
2,affine,0.0001,donor_fed,0.48556199430382524,1999,2000,7.676378488540649
2,MLP-small,0.01,donor_fed,0.2534071585858936,754,855,3.386794090270996
2,MLP-small,0.001,donor_fed,0.2775697697389149,974,1075,3.883193016052246
2,MLP-small,0.0001,donor_fed,0.38716990779136434,1999,2000,7.4694013595581055
2,MLP-medium,0.01,donor_fed,0.24464942404507387,146,247,1.5520761013031006
2,MLP-medium,0.001,donor_fed,0.2607436240850415,324,425,2.5581352710723877
2,MLP-medium,0.0001,donor_fed,0.265916099697962,1999,2000,13.707339525222778
2,MLP-large,0.01,donor_fed,0.25583514238782956,68,169,1.8607032299041748
2,MLP-large,0.001,donor_fed,0.25876013127464903,158,259,2.7911453247070312
2,MLP-large,0.0001,donor_fed,0.26489430515623963,1854,1955,20.773203134536743
3,affine,0.01,donor_fed,0.5002496371167502,773,874,2.791893482208252
3,affine,0.001,donor_fed,0.5319543477630032,1999,2000,6.308791399002075
3,affine,0.0001,donor_fed,0.6462975660937686,1999,2000,6.445277214050293
3,MLP-small,0.01,donor_fed,0.5203363056705578,116,217,0.8496074676513672
3,MLP-small,0.001,donor_fed,0.5115918594425838,479,580,2.1289258003234863
3,MLP-small,0.0001,donor_fed,0.5206754031819754,1999,2000,7.445816993713379
3,MLP-medium,0.01,donor_fed,0.5097784872662057,75,176,1.0665109157562256
3,MLP-medium,0.001,donor_fed,0.5112072344413243,249,350,2.1059999465942383
3,MLP-medium,0.0001,donor_fed,0.504162151793234,1342,1443,8.727554321289062
3,MLP-large,0.01,donor_fed,0.5108424721161903,65,166,1.6998250484466553
3,MLP-large,0.001,donor_fed,0.5033959877169127,240,341,3.946073055267334
3,MLP-large,0.0001,donor_fed,0.5082562952168374,545,646,7.149087429046631
4,affine,0.01,donor_fed,0.3084438716487358,577,678,2.1201789379119873
4,affine,0.001,donor_fed,0.3656059466690406,1999,2000,6.380455017089844
4,affine,0.0001,donor_fed,0.4937693290855996,1999,2000,6.374391555786133
4,MLP-small,0.01,donor_fed,0.2847216614349498,165,266,0.938931941986084
4,MLP-small,0.001,donor_fed,0.29383968501286567,1219,1320,4.912467956542969
4,MLP-small,0.0001,donor_fed,0.36107010152172625,1999,2000,7.297732830047607
4,MLP-medium,0.01,donor_fed,0.288970206800726,17,118,0.7930519580841064
4,MLP-medium,0.001,donor_fed,0.28208515862279715,336,437,2.7247636318206787
4,MLP-medium,0.0001,donor_fed,0.2982998357436114,1236,1337,8.391154766082764
4,MLP-large,0.01,donor_fed,0.2792862214857734,29,130,1.5529131889343262
4,MLP-large,0.001,donor_fed,0.2878667261477769,137,238,2.6361582279205322
4,MLP-large,0.0001,donor_fed,0.2908284431893562,753,854,9.453201532363892
