seed,noise,bl_gain,e1_gain_logprod,residual
0,0.1,0.009999990463256836,0.009999990463256836,0.0
0,0.3,0.11000001430511475,0.09000003337860107,0.019999980926513672
0,0.5,0.21500003337860107,0.15000003576278687,0.06499999761581421
0,0.7,0.22999995946884155,0.20999997854232788,0.019999980926513672
0,1.0,0.13499999046325684,0.17000001668930054,-0.0350000262260437
1,0.1,0.04500001668930054,0.0,0.04500001668930054
1,0.3,0.17000001668930054,0.06000000238418579,0.11000001430511475
1,0.5,0.1850000023841858,0.11500000953674316,0.06999999284744263
1,0.7,0.1499999761581421,0.11000001430511475,0.039999961853027344
1,1.0,0.10500001907348633,0.10000002384185791,0.004999995231628418
2,0.1,0.0,0.0,0.0
2,0.3,0.07499998807907104,0.07999998331069946,-0.004999995231628418
2,0.5,0.18499994277954102,0.19499999284744263,-0.010000050067901611
2,0.7,0.17500001192092896,0.1850000023841858,-0.009999990463256836
2,1.0,0.10999998450279236,0.1849999725818634,-0.07499998807907104
3,0.1,0.0,0.0,0.0
3,0.3,0.06999999284744263,0.06499999761581421,0.004999995231628418
3,0.5,0.1950000524520874,0.15500003099441528,0.04000002145767212
3,0.7,0.19499999284744263,0.10999995470046997,0.08500003814697266
3,1.0,0.12000000476837158,0.06000000238418579,0.06000000238418579
4,0.1,0.12000000476837158,0.0,0.12000000476837158
4,0.3,0.11500000953674316,0.04500001668930054,0.06999999284744263
4,0.5,0.22499996423721313,0.18499994277954102,0.04000002145767212
4,0.7,0.22499996423721313,0.17500001192092896,0.04999995231628418
4,1.0,0.11500000953674316,0.12000000476837158,-0.004999995231628418
5,0.1,0.11500000953674316,0.0,0.11500000953674316
5,0.3,0.15500003099441528,0.04500001668930054,0.11000001430511475
5,0.5,0.19999998807907104,0.1499999761581421,0.050000011920928955
5,0.7,0.1549999713897705,0.10999995470046997,0.04500001668930054
5,1.0,0.04000002145767212,0.04500001668930054,-0.004999995231628418
6,0.1,0.0350000262260437,0.010000050067901611,0.02499997615814209
6,0.3,0.025000035762786865,0.07500004768371582,-0.050000011920928955
6,0.5,0.07499998807907104,0.05500000715255737,0.019999980926513672
6,0.7,0.04499998688697815,0.025000005960464478,0.019999980926513672
6,1.0,0.034999996423721313,0.03999999165534973,-0.004999995231628418
7,0.1,0.0,0.0,0.0
7,0.3,0.06999999284744263,0.06499999761581421,0.004999995231628418
7,0.5,0.125,0.07499998807907104,0.050000011920928955
7,0.7,0.18000000715255737,0.08499997854232788,0.09500002861022949
7,1.0,0.15500003099441528,0.13499999046325684,0.020000040531158447
8,0.1,0.0,0.0,0.0
8,0.3,0.06499999761581421,0.06000000238418579,0.004999995231628418
8,0.5,0.14500004053115845,0.12000000476837158,0.025000035762786865
8,0.7,0.18000000715255737,0.21500003337860107,-0.0350000262260437
8,1.0,0.1599999964237213,0.20000001788139343,-0.04000002145767212
9,0.1,0.1899999976158142,0.009999990463256836,0.18000000715255737
9,0.3,0.25999999046325684,0.04999995231628418,0.21000003814697266
9,0.5,0.27000004053115845,0.030000030994415283,0.24000000953674316
9,0.7,0.22999995946884155,0.014999985694885254,0.2149999737739563
9,1.0,0.18000000715255737,0.05500000715255737,0.125
10,0.1,0.0,0.0,0.0
10,0.3,0.07499998807907104,0.05500000715255737,0.019999980926513672
10,0.5,0.19499999284744263,0.12000000476837158,0.07499998807907104
10,0.7,0.17000001668930054,0.10500001907348633,0.06499999761581421
10,1.0,0.14500001072883606,0.11499997973442078,0.030000030994415283
11,0.1,0.0,0.0,0.0
11,0.3,0.029999971389770508,0.029999971389770508,0.0
11,0.5,0.1499999761581421,0.1499999761581421,0.0
11,0.7,0.20499998331069946,0.20499998331069946,0.0
11,1.0,0.14000004529953003,0.20000004768371582,-0.06000000238418579
12,0.1,0.09500002861022949,0.01500004529953003,0.07999998331069946
12,0.3,0.16499996185302734,0.06499999761581421,0.09999996423721313
12,0.5,0.21999996900558472,0.125,0.09499996900558472
12,0.7,0.22999998927116394,0.17999997735023499,0.050000011920928955
12,1.0,0.125,0.15000003576278687,-0.025000035762786865
13,0.1,0.0,0.0,0.0
13,0.3,0.04000002145767212,0.04000002145767212,0.0
13,0.5,0.15000003576278687,0.18000000715255737,-0.029999971389770508
13,0.7,0.14500004053115845,0.19499999284744263,-0.04999995231628418
13,1.0,0.1250000298023224,0.21000000834465027,-0.08499997854232788
14,0.1,0.004999995231628418,0.004999995231628418,0.0
14,0.3,0.07499998807907104,0.06499999761581421,0.009999990463256836
14,0.5,0.2250000238418579,0.1600000262260437,0.06499999761581421
14,0.7,0.2549999952316284,0.13499999046325684,0.12000000476837158
14,1.0,0.16499999165534973,0.09000000357627869,0.07499998807907104
15,0.1,-0.019999980926513672,0.0,-0.019999980926513672
15,0.3,0.010000050067901611,0.09500002861022949,-0.08499997854232788
