seed_model,group,seed_ablation,noise_level,acc_t1,acc_t2,acc_t3,gain,ece,r_norm,delta_norm
1,C2,0,0.4,0.830000,0.850000,0.810000,-0.020000,0.056644,2.122828,3.551505
1,Baseline,0,0.5,0.770000,0.915000,0.970000,0.200000,0.039745,3.388532,4.214745
1,A,0,0.5,0.770000,0.815000,0.730000,-0.040000,0.035693,0.000000,3.599721
1,C1,avg30,0.5,0.770000,,0.554833,-0.215167,,,
1,C2,0,0.5,0.770000,0.785000,0.765000,-0.005000,0.035665,2.127791,4.202072
1,Baseline,0,0.6,0.720000,0.870000,0.905000,0.185000,0.026031,3.367513,4.633778
1,A,0,0.6,0.720000,0.745000,0.670000,-0.050000,0.068655,0.000000,4.341515
1,C1,avg30,0.6,0.720000,,0.523667,-0.196333,,,
1,C2,0,0.6,0.720000,0.735000,0.690000,-0.030000,0.091570,2.156521,4.890106
1,Baseline,0,0.7,0.675000,0.790000,0.835000,0.160000,0.054735,3.345986,5.079502
1,A,0,0.7,0.675000,0.690000,0.625000,-0.050000,0.133182,0.000000,5.048303
1,C1,avg30,0.7,0.675000,,0.494833,-0.180167,,,
1,C2,0,0.7,0.675000,0.660000,0.635000,-0.040000,0.152703,2.191024,5.576733
1,Baseline,0,0.8,0.625000,0.745000,0.790000,0.165000,0.091795,3.337952,5.544550
1,A,0,0.8,0.625000,0.640000,0.560000,-0.065000,0.186331,0.000000,5.722232
1,C1,avg30,0.8,0.625000,,0.467500,-0.157500,,,
1,C2,0,0.8,0.625000,0.600000,0.580000,-0.045000,0.212057,2.231103,6.248005
1,Baseline,0,0.9,0.575000,0.670000,0.680000,0.105000,0.162192,3.347150,6.043111
1,A,0,0.9,0.575000,0.605000,0.530000,-0.045000,0.228106,0.000000,6.374205
1,C1,avg30,0.9,0.575000,,0.448167,-0.126833,,,
1,C2,0,0.9,0.575000,0.570000,0.535000,-0.040000,0.286285,2.283707,6.896829
