seed_model,setting,group,noise_level,gain,acc_t1,acc_t3
11,static,C2-mlp,0.5,0.020000000000000018,0.765,0.785
11,vn,C2-mlp,0.5,0.1299999999999999,0.81,0.94
4,static,C2,0.5,-0.16500000000000004,0.78,0.615
4,static,Baseline,0.5,0.06499999999999995,0.78,0.845
4,vn,Baseline,0.5,0.17499999999999993,0.77,0.945
4,vn,A,0.5,0.0,0.77,0.77
4,vn,C1,0.5,0.001833333333333335,0.7699999999999999,0.7718333333333334
4,vn,C2,0.5,-0.10999999999999999,0.77,0.66
4,static,C2-affine,0.5,0.08499999999999996,0.78,0.865
4,vn,C2-affine,0.5,0.14500000000000002,0.77,0.915
4,static,C2-mlp,0.5,0.08999999999999997,0.78,0.87
4,vn,C2-mlp,0.5,0.14,0.77,0.91
3,static,C2,0.5,-0.29,0.755,0.465
3,static,Baseline,0.5,0.040000000000000036,0.755,0.795
3,vn,Baseline,0.5,0.17000000000000004,0.71,0.88
3,vn,A,0.5,-0.020000000000000018,0.71,0.69
3,vn,C1,0.5,-0.06316666666666662,0.7100000000000002,0.6468333333333336
3,vn,C2,0.5,-0.17499999999999993,0.71,0.535
3,static,C2-affine,0.5,-0.010000000000000009,0.755,0.745
3,vn,C2-affine,0.5,0.15500000000000003,0.71,0.865
3,static,C2-mlp,0.5,0.0050000000000000044,0.755,0.76
3,vn,C2-mlp,0.5,0.16500000000000004,0.71,0.875
13,static,C2,0.5,-0.235,0.735,0.5
13,static,Baseline,0.5,-0.04999999999999993,0.735,0.685
13,vn,Baseline,0.5,0.17500000000000004,0.735,0.91
13,vn,A,0.5,-0.06499999999999995,0.735,0.67
13,vn,C1,0.5,-0.21116666666666667,0.7349999999999999,0.5238333333333334
13,vn,C2,0.5,-0.11499999999999999,0.735,0.62
13,static,C2-affine,0.5,-0.07499999999999996,0.735,0.66
13,vn,C2-affine,0.5,0.08999999999999997,0.735,0.825
13,static,C2-mlp,0.5,-0.04500000000000004,0.735,0.69
13,vn,C2-mlp,0.5,0.10999999999999999,0.735,0.845
14,static,C2,0.5,-0.18499999999999994,0.73,0.545
14,static,Baseline,0.5,0.010000000000000009,0.73,0.74
14,vn,Baseline,0.5,0.275,0.525,0.8
14,vn,A,0.5,-0.0050000000000000044,0.525,0.52
14,vn,C1,0.5,-0.05983333333333336,0.5250000000000001,0.4651666666666667
14,vn,C2,0.5,-0.010000000000000009,0.525,0.515
14,static,C2-affine,0.5,-0.09499999999999997,0.73,0.635
14,vn,C2-affine,0.5,0.19999999999999996,0.525,0.725
14,static,C2-mlp,0.5,-0.135,0.73,0.595
14,vn,C2-mlp,0.5,0.21499999999999997,0.525,0.74
7,static,C2,0.5,-0.19999999999999996,0.82,0.62
7,static,Baseline,0.5,0.0050000000000000044,0.82,0.825
7,vn,Baseline,0.5,0.09500000000000008,0.825,0.92
7,vn,A,0.5,-0.039999999999999925,0.825,0.785
7,vn,C1,0.5,-0.2786666666666667,0.8249999999999997,0.5463333333333332
7,vn,C2,0.5,-0.245,0.825,0.58
7,static,C2-affine,0.5,-0.05999999999999994,0.82,0.76
7,vn,C2-affine,0.5,-0.010000000000000009,0.825,0.815
7,static,C2-mlp,0.5,-0.05499999999999994,0.82,0.765
7,vn,C2-mlp,0.5,0.040000000000000036,0.825,0.865
0,static,C2,0.5,-0.04500000000000004,0.8,0.755
0,static,Baseline,0.5,0.019999999999999907,0.8,0.82
0,vn,Baseline,0.5,0.15499999999999992,0.795,0.95
0,vn,A,0.5,0.029999999999999916,0.795,0.825
0,vn,C1,0.5,-0.1378333333333334,0.7950000000000004,0.6571666666666667
0,vn,C2,0.5,-0.015000000000000013,0.795,0.78
0,static,C2-affine,0.5,-0.0050000000000000044,0.8,0.795
0,vn,C2-affine,0.5,0.16999999999999993,0.795,0.965
0,static,C2-mlp,0.5,-0.010000000000000009,0.8,0.79
0,vn,C2-mlp,0.5,0.16499999999999992,0.795,0.96
6,static,C2,0.5,-0.17500000000000004,0.77,0.595
6,static,Baseline,0.5,-0.06500000000000006,0.77,0.705
6,vn,Baseline,0.5,0.29500000000000004,0.575,0.87
6,vn,A,0.5,0.1050000000000001,0.575,0.68
6,vn,C1,0.5,0.014000000000000032,0.5749999999999998,0.589
6,vn,C2,0.5,-0.029999999999999916,0.575,0.545
6,static,C2-affine,0.5,-0.06500000000000006,0.77,0.705
6,vn,C2-affine,0.5,0.25,0.575,0.825
6,static,C2-mlp,0.5,-0.030000000000000027,0.77,0.74
6,vn,C2-mlp,0.5,0.265,0.575,0.84
17,static,C2,0.5,-0.04499999999999993,0.715,0.67
17,static,Baseline,0.5,0.08500000000000008,0.715,0.8
17,vn,Baseline,0.5,0.1349999999999999,0.685,0.82
17,vn,A,0.5,-0.015000000000000013,0.685,0.67
17,vn,C1,0.5,-0.11316666666666672,0.6849999999999998,0.5718333333333334
17,vn,C2,0.5,0.0,0.685,0.685
17,static,C2-affine,0.5,0.030000000000000027,0.715,0.745
17,vn,C2-affine,0.5,0.1299999999999999,0.685,0.815
17,static,C2-mlp,0.5,0.030000000000000027,0.715,0.745
17,vn,C2-mlp,0.5,0.125,0.685,0.81
10,static,C2,0.5,-0.19499999999999995,0.7,0.505
10,static,Baseline,0.5,0.040000000000000036,0.7,0.74
10,vn,Baseline,0.5,0.15000000000000002,0.64,0.79
10,vn,A,0.5,0.0050000000000000044,0.64,0.645
10,vn,C1,0.5,0.0006666666666666636,0.6400000000000001,0.6406666666666667
10,vn,C2,0.5,-0.11499999999999999,0.64,0.525
10,static,C2-affine,0.5,-0.0050000000000000044,0.7,0.695
10,vn,C2-affine,0.5,0.04999999999999993,0.64,0.69
10,static,C2-mlp,0.5,-0.014999999999999902,0.7,0.685
10,vn,C2-mlp,0.5,0.10999999999999999,0.64,0.75
9,static,C2,0.5,-0.07000000000000006,0.79,0.72
9,static,Baseline,0.5,0.03499999999999992,0.79,0.825
9,vn,Baseline,0.5,0.19999999999999996,0.775,0.975
9,vn,A,0.5,-0.015000000000000013,0.775,0.76
9,vn,C1,0.5,-0.09600000000000003,0.7749999999999998,0.6790000000000002
9,vn,C2,0.5,-0.040000000000000036,0.775,0.735
