seed,aligner_size,aligner_kind,aligner_params,lr,bl_gain,c2_raw_gain,group_a_gain,closed_loop_gain,closed_loop_acc_t1,closed_loop_acc_t3,cosine_to_self_t2,cosine_to_self_t3,epochs_run,best_epoch,best_val_loss,elapsed_s,aligned_logits_norm_t2,aligned_logits_norm_t3,aligned_logits_max_abs_t2,aligned_logits_max_abs_t3,feedback_norm_t2,feedback_norm_t3,tanh_saturation_fraction_t2,tanh_saturation_fraction_t3
0,affine,xt_only,55,0.01,0.1350000500679016,-0.059999942779541016,-0.02499997615814209,0.2250000238418579,0.6549999713897705,0.8799999952316284,0.1704073563639822,0.2888428220873511,796,695,0.47669468259674386,2.4616453647613525,8.74063460137943,8.645114191091293,12.141345556408979,11.710674099453414,1.8235176632172505,1.831331816196572,0.35600000619888306,0.35100001096725464
0,MLP-small,xt_only,213,0.01,0.1350000500679016,-0.059999942779541016,-0.02499997615814209,0.24500000476837158,0.6549999713897705,0.8999999761581421,0.34254346606042174,0.4352658714094612,256,155,0.3982982298949048,0.8919777870178223,9.172917149973905,9.1014877389675,15.351995865647481,20.098394716069762,1.8362520588481595,1.8205986890662529,0.4000000059604645,0.3709999918937683
0,MLP-medium,xt_only,4625,0.01,0.1350000500679016,-0.059999942779541016,-0.02499997615814209,0.24000000953674316,0.6549999713897705,0.8949999809265137,0.2971899736849042,0.41011218667778976,129,28,0.38478917624497605,0.7157204151153564,10.91598508248107,11.028253993997037,13.544395714902988,17.09394709690549,1.9284162894855457,1.947834943890261,0.5049999952316284,0.5189999938011169
0,MLP-large,xt_only,16445,0.01,0.1350000500679016,-0.059999942779541016,-0.02499997615814209,0.24500000476837158,0.6549999713897705,0.8999999761581421,0.28083720153607306,0.38161661378346834,123,22,0.3848141132757842,1.2459886074066162,14.139125492732505,14.210941770853191,20.050361629344906,26.666666979552005,2.0052102513525,2.0173430007964592,0.6119999885559082,0.621999979019165
1,affine,xt_only,55,0.01,0.19499999284744263,0.034999966621398926,-0.01500004529953003,0.2149999737739563,0.6700000166893005,0.8849999904632568,0.22327063623300666,0.27997213259896503,1200,1099,0.3760437303266627,3.705008029937744,8.1400702780675,8.079523477026022,14.688718650663862,13.272220755119505,1.7743796740894835,1.761509794308601,0.32600000500679016,0.30000001192092896
1,MLP-small,xt_only,213,0.01,0.19499999284744263,0.034999966621398926,-0.01500004529953003,0.2149999737739563,0.6700000166893005,0.8849999904632568,0.2911949380329878,0.3551693013956767,228,127,0.3749605897414036,0.8009741306304932,5.728506809141018,5.812418596152129,10.038068728813519,8.082342563682829,1.583591954136513,1.5941206592638997,0.1550000011920929,0.15700000524520874
1,MLP-medium,xt_only,4625,0.01,0.19499999284744263,0.034999966621398926,-0.01500004529953003,0.24000000953674316,0.6700000166893005,0.9100000262260437,0.35837148920205053,0.41447367414071484,145,44,0.3311319995648158,0.8251039981842041,8.541554499506994,8.58298308967762,16.57883219323675,14.425439303115079,1.7954214558106285,1.8158708602580793,0.3230000138282776,0.33399999141693115
1,MLP-large,xt_only,16445,0.01,0.19499999284744263,0.034999966621398926,-0.01500004529953003,0.22999995946884155,0.6700000166893005,0.8999999761581421,0.3600851315318219,0.4310447299041627,120,19,0.36925318117156236,1.267641305923462,8.38991280502139,8.460109994514136,22.001941962984578,15.073584280823866,1.7269091151636886,1.7531933464704557,0.28700000047683716,0.30399999022483826
2,affine,xt_only,55,0.01,0.125,-0.034999966621398926,0.04500001668930054,0.24500000476837158,0.574999988079071,0.8199999928474426,0.40472682762067125,0.48865404925718764,1343,1242,0.5173696409242273,4.155990362167358,12.445342188783457,12.54941198344256,20.63198901893289,17.564643467922515,1.9376196210833154,1.938830462123613,0.5289999842643738,0.5220000147819519
2,MLP-small,xt_only,213,0.01,0.125,-0.034999966621398926,0.04500001668930054,0.29500001668930054,0.574999988079071,0.8700000047683716,0.430275662027162,0.5302558368020108,317,216,0.4692833676935076,1.1881732940673828,13.207314313399756,13.328466127382661,22.56493222203699,18.386779815100173,1.944519375267783,1.9798954595735818,0.5329999923706055,0.5820000171661377
2,MLP-medium,xt_only,4625,0.01,0.125,-0.034999966621398926,0.04500001668930054,0.3100000023841858,0.574999988079071,0.8849999904632568,0.4304147116098332,0.5319383473132189,202,101,0.4888545001096882,1.1298325061798096,22.364214749879746,23.104580623729326,33.71940782707514,30.19362784320313,2.1037323171926037,2.0997653587792544,0.7720000147819519,0.7820000052452087
2,MLP-large,xt_only,16445,0.01,0.125,-0.034999966621398926,0.04500001668930054,0.2850000262260437,0.574999988079071,0.8600000143051147,0.42860576947019224,0.5202400068250881,116,15,0.46696434833094547,1.0783894062042236,12.250206393156992,12.397266629147557,18.00870744051224,19.778040966793064,1.9559034579609613,1.9739231628447964,0.5450000166893005,0.5789999961853027
3,affine,xt_only,55,0.01,0.0899999737739563,-0.06999999284744263,-0.08499997854232788,0.125,0.6800000071525574,0.8050000071525574,0.3432071627387532,0.3826171009302432,561,460,0.6326079162031689,1.7551300525665283,5.484105858556592,5.081019997108375,8.398744240794539,8.08423665877855,1.5233189538769936,1.495239613536584,0.12200000137090683,0.0989999994635582
3,MLP-small,xt_only,213,0.01,0.0899999737739563,-0.06999999284744263,-0.08499997854232788,0.1499999761581421,0.6800000071525574,0.8299999833106995,0.4144018820373702,0.49278455559316825,312,211,0.6124879387441186,1.116546392440796,6.459847770891381,6.15615944137096,12.636336913386684,10.304959265429819,1.614792143888106,1.5879919821010595,0.19699999690055847,0.18799999356269836
3,MLP-medium,xt_only,4625,0.01,0.0899999737739563,-0.06999999284744263,-0.08499997854232788,0.11000001430511475,0.6800000071525574,0.7900000214576721,0.3386763593896176,0.43732607609041496,124,23,0.6057864142009435,0.6919715404510498,4.669819798880603,4.571990152921372,13.116541377971373,11.327863879573295,1.290758692891158,1.3016744146107768,0.11699999868869781,0.10400000214576721
3,MLP-large,xt_only,16445,0.01,0.0899999737739563,-0.06999999284744263,-0.08499997854232788,0.12999999523162842,0.6800000071525574,0.8100000023841858,0.3679039588177615,0.46507144957058844,117,16,0.602822070553877,1.0477590560913086,5.293665906513484,5.09436043420404,12.69707043906864,11.0872222628066,1.372100646289898,1.3610073454635074,0.15199999511241913,0.1469999998807907
4,affine,xt_only,55,0.01,0.07999998331069946,-0.1950000524520874,0.009999990463256836,0.1499999761581421,0.7200000286102295,0.8700000047683716,0.2968930698015525,0.39302893453226495,609,508,0.6024579699677325,1.885343313217163,6.304305745001221,6.537410315774002,9.379083036263783,10.369411345095855,1.6582961818924213,1.6704358174095597,0.19099999964237213,0.20800000429153442
4,MLP-small,xt_only,213,0.01,0.07999998331069946,-0.1950000524520874,0.009999990463256836,0.1549999713897705,0.7200000286102295,0.875,0.34200620234989365,0.4342492822997505,330,229,0.5308413970742794,1.172116994857788,9.284274633759674,9.526162633169436,13.924154019932017,12.615969455647528,1.8492834321077396,1.868421321189939,0.3889999985694885,0.42800000309944153
4,MLP-medium,xt_only,4625,0.01,0.07999998331069946,-0.1950000524520874,0.009999990463256836,0.16499996185302734,0.7200000286102295,0.8849999904632568,0.3716100400329282,0.4598138266633647,126,25,0.5203596391091612,0.6760737895965576,7.437160493579093,7.630357073188631,9.43444564720942,10.011109334611028,1.7535690184466544,1.7744943291412272,0.2849999964237213,0.29100000858306885
4,MLP-large,xt_only,16445,0.01,0.07999998331069946,-0.1950000524520874,0.009999990463256836,0.15999996662139893,0.7200000286102295,0.8799999952316284,0.33206130520571153,0.4084728180783175,118,17,0.5221837588623744,1.1903009414672852,8.290625506177133,8.400176444192601,12.25677802421037,13.794148443037502,1.7623218608528168,1.7944537962732456,0.3100000023841858,0.29600000381469727
5,affine,xt_only,55,0.01,0.09000003337860107,-0.125,0.014999985694885254,0.15500003099441528,0.574999988079071,0.7300000190734863,0.1253980513279007,0.16612703439351,871,770,0.7829992587757689,2.6928629875183105,6.0807912262881745,6.025181266130737,9.399227519455685,10.22794416423073,1.5881554672242089,1.5753012108984945,0.16099999845027924,0.15800000727176666
5,MLP-small,xt_only,213,0.01,0.09000003337860107,-0.125,0.014999985694885254,0.24500000476837158,0.574999988079071,0.8199999928474426,0.2928072845617314,0.3103185362079904,353,252,0.6988334789154452,1.2335660457611084,7.564605049522015,7.569792581217936,13.531794315424293,14.935323170824804,1.6738176322700027,1.6809811755221844,0.27799999713897705,0.2840000092983246
5,MLP-medium,xt_only,4625,0.01,0.09000003337860107,-0.125,0.014999985694885254,0.27000004053115845,0.574999988079071,0.8450000286102295,0.37930849827301033,0.38073109237766467,140,39,0.6572025401870665,0.7705767154693604,7.541235514644582,7.532557831594969,14.068056764287434,15.89419971851708,1.6834203343423098,1.6698334267616657,0.27000001072883606,0.25699999928474426
5,MLP-large,xt_only,16445,0.01,0.09000003337860107,-0.125,0.014999985694885254,0.27500003576278687,0.574999988079071,0.8500000238418579,0.25636428095952374,0.25369379078897264,129,28,0.6599146940434718,1.3260178565979004,9.368376488542884,9.424487370217625,14.559282019917068,15.823927489248158,1.8267469661142508,1.8170264504272908,0.3709999918937683,0.38499999046325684
6,affine,xt_only,55,0.01,0.11000001430511475,0.005000025033950806,0.0350000262260437,0.3149999976158142,0.32499998807907104,0.6399999856948853,0.2572554426678833,0.32570945339578644,2000,1997,1.219800580156679,6.2055089473724365,16.40386034726135,17.13117034885936,23.07846680725088,25.534372146323243,2.0551298917958345,2.0685222154345477,0.6959999799728394,0.7120000123977661
6,MLP-small,xt_only,213,0.01,0.11000001430511475,0.005000025033950806,0.0350000262260437,0.27500003576278687,0.32499998807907104,0.6000000238418579,0.2930632336934723,0.2804525987531287,728,627,1.1756044019823582,2.5815937519073486,26.782268788548627,27.307299493015027,44.93899659559408,56.51064517638639,2.103592821689512,2.095426275282174,0.7770000100135803,0.7889999747276306
6,MLP-medium,xt_only,4625,0.01,0.11000001430511475,0.005000025033950806,0.0350000262260437,0.27000004053115845,0.32499998807907104,0.5950000286102295,0.4609815650952591,0.4817124627680698,148,47,1.1935491776430034,0.8463730812072754,27.443868554760208,28.185771996121847,43.71160995594731,52.3197090166597,2.1518917817562366,2.154264735613131,0.8519999980926514,0.8479999899864197
6,MLP-large,xt_only,16445,0.01,0.11000001430511475,0.005000025033950806,0.0350000262260437,0.29500001668930054,0.32499998807907104,0.6200000047683716,0.28185778233073505,0.2258804129922783,228,127,1.178724652151611,2.370438814163208,43.701112526854246,44.22676715143352,61.380383326759116,70.12788690467411,2.1237905672238693,2.1225265376436706,0.8209999799728394,0.8149999976158142
7,affine,xt_only,55,0.01,0.12000000476837158,-0.014999985694885254,-0.06000000238418579,0.07499998807907104,0.7599999904632568,0.8349999785423279,0.34312835197760905,0.3192380947767408,601,500,0.5643061925847862,1.8378970623016357,6.546452733258343,6.3225470848700915,9.136978607400176,9.36407802490371,1.6579136063422788,1.6190869138693873,0.20399999618530273,0.18000000715255737
7,MLP-small,xt_only,213,0.01,0.12000000476837158,-0.014999985694885254,-0.06000000238418579,0.12000000476837158,0.7599999904632568,0.8799999952316284,0.48524203403795646,0.5121550186335984,436,335,0.4931930041678633,1.4952640533447266,12.20274479299888,11.44196912581409,22.46532968449831,21.92753236145442,1.870834018537505,1.8326579239223961,0.4909999966621399,0.44999998807907104
7,MLP-medium,xt_only,4625,0.01,0.12000000476837158,-0.014999985694885254,-0.06000000238418579,0.12999999523162842,0.7599999904632568,0.8899999856948853,0.3748419551539317,0.3874291663049557,201,100,0.452718871075547,1.1439387798309326,19.257182630090867,17.89140047919407,31.355564504058144,32.545912087281515,2.014928700374931,2.0040923538849253,0.6700000166893005,0.6579999923706055
