setting,seed,epochs,bl_gain,e1_gain,c2_gain,clone_ho_gain
vn,0,500,0.14,0.20500000000000007,0.05500000000000005,-0.025000000000000022
vn,0,1000,0.15499999999999992,0.17499999999999993,-0.015000000000000013,0.04500000000000004
vn,0,1500,0.17999999999999994,0.17999999999999994,0.05999999999999994,0.05499999999999994
vn,0,2000,0.18499999999999994,0.18499999999999994,0.08999999999999997,0.07499999999999996
vn,0,3000,0.17999999999999994,0.17499999999999993,0.08999999999999997,0.08499999999999996
vn,0,4000,0.17999999999999994,0.18499999999999994,0.125,0.07499999999999996
vn,0,5000,0.17499999999999993,0.17999999999999994,0.12,0.06499999999999995
vn,1,500,0.135,0.125,-0.0050000000000000044,-0.04500000000000004
vn,1,1000,0.15500000000000003,0.09999999999999998,0.05499999999999994,0.09999999999999998
vn,1,1500,0.135,0.09499999999999997,0.015000000000000013,0.125
vn,1,2000,0.14,0.10999999999999999,0.0,0.14
vn,1,3000,0.11499999999999999,0.1050000000000001,-0.039999999999999925,0.14
vn,1,4000,0.09500000000000008,0.09500000000000008,-0.03499999999999992,0.12
vn,1,5000,0.09500000000000008,0.10499999999999998,-0.039999999999999925,0.135
vn,2,500,0.235,0.15000000000000002,0.19000000000000006,-0.050000000000000044
vn,2,1000,0.22999999999999998,0.15500000000000003,0.13,0.09999999999999998
vn,2,1500,0.15999999999999992,0.10999999999999999,0.06499999999999995,0.135
vn,2,2000,0.15500000000000003,0.1200000000000001,0.07000000000000006,0.16000000000000003
vn,2,3000,0.125,0.12,0.05500000000000005,0.1499999999999999
vn,2,4000,0.11499999999999999,0.125,0.05500000000000005,0.1449999999999999
vn,2,5000,0.10499999999999998,0.12,0.050000000000000044,0.1349999999999999
vn,3,500,0.07999999999999996,0.04500000000000004,-0.125,0.09499999999999997
vn,3,1000,0.17000000000000004,0.13,-0.17499999999999993,0.25
vn,3,1500,0.14,0.10499999999999998,-0.29000000000000004,0.24
vn,3,2000,0.15499999999999992,0.10999999999999999,-0.33,0.19499999999999995
vn,3,3000,0.16999999999999993,0.10999999999999999,-0.395,0.17499999999999993
vn,3,4000,0.17499999999999993,0.12,-0.395,0.16500000000000004
vn,3,5000,0.18499999999999994,0.12,-0.39,0.17000000000000004
vn,4,500,0.10499999999999998,0.17500000000000004,-0.040000000000000036,0.04999999999999993
vn,4,1000,0.17499999999999993,0.14,-0.10999999999999999,0.09999999999999998
vn,4,1500,0.16499999999999992,0.12,-0.14,0.22000000000000008
vn,4,2000,0.17999999999999994,0.125,-0.11499999999999999,0.21499999999999997
vn,4,3000,0.17499999999999993,0.135,-0.10000000000000009,0.19999999999999996
vn,4,4000,0.17499999999999993,0.1449999999999999,-0.09500000000000008,0.17999999999999994
vn,4,5000,0.18499999999999994,0.1499999999999999,-0.1050000000000001,0.15499999999999992
vn,5,500,0.07000000000000006,0.14500000000000002,0.050000000000000044,0.18500000000000005
vn,5,1000,0.2899999999999999,0.1399999999999999,0.17499999999999993,0.22999999999999998
vn,5,1500,0.25,0.13,0.15500000000000003,0.245
vn,5,2000,0.21999999999999997,0.12,0.135,0.21999999999999997
vn,5,3000,0.22999999999999998,0.14500000000000002,0.13,0.20999999999999996
vn,5,4000,0.20499999999999996,0.12,0.09499999999999997,0.19499999999999995
vn,5,5000,0.19499999999999995,0.11499999999999999,0.09999999999999998,0.18999999999999995
vn,6,500,0.050000000000000044,0.07000000000000006,-0.11999999999999994,-0.019999999999999907
vn,6,1000,0.29500000000000004,0.15500000000000003,-0.029999999999999916,0.08999999999999997
vn,6,1500,0.3500000000000001,0.13,-0.015000000000000013,0.125
vn,6,2000,0.33000000000000007,0.16500000000000004,-0.015000000000000013,0.125
vn,6,3000,0.30500000000000005,0.18000000000000005,0.0,0.09000000000000008
vn,6,4000,0.30000000000000004,0.18999999999999995,0.0050000000000000044,0.08500000000000008
vn,6,5000,0.29500000000000004,0.18999999999999995,0.010000000000000009,0.08000000000000007
vn,7,500,-0.010000000000000009,0.08999999999999997,-0.15500000000000003,0.16500000000000004
vn,7,1000,0.09500000000000008,0.13,-0.245,0.22499999999999998
vn,7,1500,0.10499999999999998,0.15000000000000002,-0.2799999999999999,0.25
vn,7,2000,0.10999999999999999,0.15000000000000002,-0.2899999999999999,0.22499999999999998
vn,7,3000,0.12,0.15500000000000003,-0.2849999999999999,0.18499999999999994
vn,7,4000,0.11499999999999999,0.14500000000000002,-0.2849999999999999,0.16499999999999992
vn,7,5000,0.10999999999999999,0.14,-0.29499999999999993,0.15499999999999992
vn,8,500,0.10000000000000009,0.1150000000000001,-0.02499999999999991,0.04500000000000004
vn,8,1000,0.2250000000000001,0.10999999999999999,0.050000000000000044,0.10000000000000009
vn,8,1500,0.20499999999999996,0.12,0.09499999999999997,0.08000000000000007
vn,8,2000,0.18999999999999995,0.13,0.135,0.11499999999999999
vn,8,3000,0.17499999999999993,0.13,0.12,0.10499999999999998
vn,8,4000,0.16499999999999992,0.13,0.12,0.09999999999999998
vn,8,5000,0.18499999999999994,0.15000000000000002,0.125,0.10499999999999998
vn,9,500,0.08999999999999997,0.15000000000000002,-0.07999999999999996,0.11499999999999999
vn,9,1000,0.19999999999999996,0.15000000000000002,-0.040000000000000036,0.17000000000000004
vn,9,1500,0.17999999999999994,0.135,-0.06500000000000006,0.1399999999999999
vn,9,2000,0.16999999999999993,0.1349999999999999,-0.05500000000000005,0.11499999999999999
vn,9,3000,0.16000000000000003,0.13,-0.04999999999999993,0.09999999999999998
vn,9,4000,0.15500000000000003,0.135,-0.04999999999999993,0.09499999999999997
vn,9,5000,0.14500000000000002,0.13,-0.06499999999999995,0.09499999999999997
vn,10,500,-0.010000000000000009,0.10999999999999999,-0.21499999999999997,0.030000000000000027
vn,10,1000,0.15000000000000002,0.14500000000000002,-0.11499999999999999,0.07999999999999996
vn,10,1500,0.20499999999999996,0.09499999999999997,0.02499999999999991,0.135
vn,10,2000,0.22999999999999998,0.16999999999999993,0.10499999999999998,0.17499999999999993
vn,10,3000,0.20000000000000007,0.17000000000000004,0.12,0.14
vn,10,4000,0.20000000000000007,0.18500000000000005,0.12,0.14500000000000002
vn,10,5000,0.20500000000000007,0.18000000000000005,0.13,0.14
vn,11,500,0.040000000000000036,0.17999999999999994,-0.040000000000000036,0.08999999999999997
vn,11,1000,0.11499999999999999,0.16499999999999992,-0.050000000000000044,0.07499999999999996
vn,11,1500,0.16000000000000003,0.15000000000000002,0.010000000000000009,0.10499999999999998
vn,11,2000,0.14500000000000002,0.13,0.0050000000000000044,0.13
