seed,setting,group,gain,params
10,vn,Baseline,0.15000000000000002,0
10,vn,C2-raw,-0.11499999999999999,0
10,static,C2-affine,-0.0050000000000000044,30
10,vn,C2-affine,0.08999999999999997,30
10,static,C2-MLP-small,0.0050000000000000044,181
10,vn,C2-MLP-small,0.125,181
10,static,C2-MLP-medium,0.0,4869
10,vn,C2-MLP-medium,0.12,4869
10,static,C2-MLP-large,0.0050000000000000044,17925
10,vn,C2-MLP-large,0.13,17925
11,static,Baseline,-0.0050000000000000044,0
11,static,C2-raw,-0.22499999999999998,0
11,vn,Baseline,0.11499999999999999,0
11,vn,C2-raw,-0.050000000000000044,0
11,static,C2-affine,0.025000000000000022,30
11,vn,C2-affine,0.12,30
11,static,C2-MLP-small,0.03500000000000003,181
11,vn,C2-MLP-small,0.125,181
11,static,C2-MLP-medium,0.04999999999999993,4869
11,vn,C2-MLP-medium,0.1299999999999999,4869
11,static,C2-MLP-large,0.030000000000000027,17925
11,vn,C2-MLP-large,0.1299999999999999,17925
12,static,Baseline,0.07500000000000007,0
12,static,C2-raw,-0.05499999999999994,0
12,vn,Baseline,0.20000000000000007,0
12,vn,C2-raw,-0.05499999999999994,0
12,static,C2-affine,0.12,30
12,vn,C2-affine,0.20500000000000007,30
12,static,C2-MLP-small,0.125,181
12,vn,C2-MLP-small,0.21500000000000008,181
12,static,C2-MLP-medium,0.11499999999999999,4869
12,vn,C2-MLP-medium,0.22000000000000008,4869
12,static,C2-MLP-large,0.10999999999999999,17925
12,vn,C2-MLP-large,0.21500000000000008,17925
13,static,Baseline,-0.04999999999999993,0
13,static,C2-raw,-0.235,0
13,vn,Baseline,0.17500000000000004,0
13,vn,C2-raw,-0.11499999999999999,0
13,static,C2-affine,-0.04999999999999993,30
13,vn,C2-affine,0.05500000000000005,30
13,static,C2-MLP-small,-0.040000000000000036,181
13,vn,C2-MLP-small,0.11499999999999999,181
13,static,C2-MLP-medium,-0.07499999999999996,4869
13,vn,C2-MLP-medium,0.13,4869
13,static,C2-MLP-large,-0.04500000000000004,17925
13,vn,C2-MLP-large,0.125,17925
14,static,Baseline,0.010000000000000009,0
14,static,C2-raw,-0.18499999999999994,0
14,vn,Baseline,0.275,0
14,vn,C2-raw,-0.010000000000000009,0
14,static,C2-affine,-0.08499999999999996,30
14,vn,C2-affine,0.20499999999999996,30
14,static,C2-MLP-small,-0.09499999999999997,181
14,vn,C2-MLP-small,0.21999999999999997,181
14,static,C2-MLP-medium,-0.08499999999999996,4869
14,vn,C2-MLP-medium,0.19999999999999996,4869
14,static,C2-MLP-large,-0.04999999999999993,17925
14,vn,C2-MLP-large,0.22499999999999998,17925
15,static,Baseline,0.05999999999999994,0
15,static,C2-raw,-0.35000000000000003,0
15,vn,Baseline,0.21000000000000008,0
15,vn,C2-raw,-0.10499999999999993,0
15,static,C2-affine,0.05999999999999994,30
15,vn,C2-affine,0.17000000000000004,30
