seed,aligner_size,aligner_kind,aligner_params,lr,bl_gain,c2_raw_gain,group_a_gain,closed_loop_gain,closed_loop_acc_t1,closed_loop_acc_t3,cosine_to_self_t2,cosine_to_self_t3,epochs_run,best_epoch,best_val_loss,elapsed_s,aligned_logits_norm_t2,aligned_logits_norm_t3,aligned_logits_max_abs_t2,aligned_logits_max_abs_t3,feedback_norm_t2,feedback_norm_t3,tanh_saturation_fraction_t2,tanh_saturation_fraction_t3
0,affine,xt_only,55,0.01,0.21500003337860107,-0.13999998569488525,0.020000040531158447,0.16500002145767212,0.7099999785423279,0.875,0.21144513927289985,0.3063627715775911,414,313,0.37480198536146453,1.3578226566314697,4.783075551755092,4.716839459325186,8.695719551689443,6.558963648654902,1.4770784175835632,1.4793278803300631,0.06599999964237213,0.05700000002980232
0,MLP-small,xt_only,213,0.01,0.21500003337860107,-0.13999998569488525,0.020000040531158447,0.1899999976158142,0.7099999785423279,0.8999999761581421,0.2981310157928768,0.41525636943206395,251,150,0.33553634062261445,0.9188687801361084,4.510350502681242,4.416141658234864,9.769948323995816,8.287744936352194,1.4152306790464309,1.4042850406784384,0.06300000101327896,0.0729999989271164
0,MLP-medium,xt_only,4625,0.01,0.21500003337860107,-0.13999998569488525,0.020000040531158447,0.19499999284744263,0.7099999785423279,0.9049999713897705,0.3535285426157142,0.4610090744641534,143,42,0.34130952077317533,0.809624433517456,6.45587703032397,6.381504224200187,11.70740603867007,10.771594765927336,1.6316151592265464,1.6354379846211051,0.1979999989271164,0.18799999356269836
0,MLP-large,xt_only,16445,0.01,0.21500003337860107,-0.13999998569488525,0.020000040531158447,0.20500004291534424,0.7099999785423279,0.9150000214576721,0.34753568383214306,0.44392705826721257,130,29,0.3362426718917731,1.1768908500671387,6.6489101987281245,6.520627673317003,13.11317655484762,10.847352777772562,1.6668828516517495,1.6539928993227233,0.2199999988079071,0.20000000298023224
1,affine,xt_only,55,0.01,0.1850000023841858,0.08499997854232788,-0.01500004529953003,0.1549999713897705,0.7300000190734863,0.8849999904632568,0.2527472868942364,0.25725110002736457,1197,1096,0.30523995445772845,3.875581741333008,6.062493461353217,6.337865966306825,11.146123880444625,11.87203750762909,1.5451058162833597,1.5663497777547075,0.16599999368190765,0.16699999570846558
1,MLP-small,xt_only,213,0.01,0.1850000023841858,0.08499997854232788,-0.01500004529953003,0.1899999976158142,0.7300000190734863,0.9200000166893005,0.33613716196651955,0.3288724806291431,293,192,0.3127003050767433,1.063237190246582,6.414557149120453,7.001189967077233,10.87156394455369,13.068877600818276,1.591442153502642,1.6350651733544694,0.1860000044107437,0.21799999475479126
1,MLP-medium,xt_only,4625,0.01,0.1850000023841858,0.08499997854232788,-0.01500004529953003,0.18000000715255737,0.7300000190734863,0.9100000262260437,0.33026078411958587,0.3710532789102042,142,41,0.31490976953597877,0.7631158828735352,5.351081039306102,5.611931578444511,11.245782767500131,11.73446990067435,1.4973972892850704,1.5473731102170434,0.11999999731779099,0.11800000071525574
1,MLP-large,xt_only,16445,0.01,0.1850000023841858,0.08499997854232788,-0.01500004529953003,0.16499996185302734,0.7300000190734863,0.8949999809265137,0.35032924793219694,0.3547866769345238,114,13,0.33061641126386854,1.0282416343688965,5.3001244596968204,5.448613840001708,10.252808101088227,9.458759202895573,1.4842379543522646,1.5157848750414455,0.11800000071525574,0.12399999797344208
2,affine,xt_only,55,0.01,0.18499994277954102,-0.050000011920928955,0.0,0.17499995231628418,0.7200000286102295,0.8949999809265137,0.31874634923433587,0.3890446108448637,694,593,0.34151614191190366,2.236619710922241,6.766044734611619,6.74198860888828,10.054281402366602,10.514349269391548,1.684034674996509,1.6908238628387247,0.2150000035762787,0.22100000083446503
2,MLP-small,xt_only,213,0.01,0.18499994277954102,-0.050000011920928955,0.0,0.1899999976158142,0.7200000286102295,0.9100000262260437,0.3747168907807975,0.43074008836992517,245,144,0.3055315667674543,0.9127089977264404,6.3896585889868875,6.601244022437555,9.485387130567101,7.884377488363673,1.6647060904363256,1.6995546822125647,0.18799999356269836,0.21299999952316284
2,MLP-medium,xt_only,4625,0.01,0.18499994277954102,-0.050000011920928955,0.0,0.19499999284744263,0.7200000286102295,0.9150000214576721,0.3998292394766908,0.47382449762407963,147,46,0.32319449253308463,0.7595763206481934,9.435513981328192,9.684556288161668,13.388381233125655,12.908823942389294,1.8200111348119945,1.8373107497121015,0.39500001072883606,0.4000000059604645
2,MLP-large,xt_only,16445,0.01,0.18499994277954102,-0.050000011920928955,0.0,0.17499995231628418,0.7200000286102295,0.8949999809265137,0.42865647446763594,0.5023152738942118,122,21,0.2987640332746746,1.1056995391845703,10.234921887763987,10.59418844245984,15.007839975091688,13.690400011634575,1.860441340444095,1.8761933335461523,0.42500001192092896,0.4449999928474426
3,affine,xt_only,55,0.01,0.1950000524520874,-0.02499997615814209,-0.06000000238418579,0.14500004053115845,0.7149999737739563,0.8600000143051147,0.37454041838379454,0.44835850711936975,387,286,0.4958285422965146,1.2542812824249268,4.04262056060706,3.8360246153889705,6.080353293043215,5.756690014218052,1.3461411040447029,1.3179412542922229,0.04100000113248825,0.026000000536441803
3,MLP-small,xt_only,213,0.01,0.1950000524520874,-0.02499997615814209,-0.06000000238418579,0.125,0.7149999737739563,0.8399999737739563,0.3949771032330617,0.5044594625921012,168,67,0.5061718377089962,0.5764315128326416,2.923980720042908,2.778542390133706,6.4507271363555185,5.535840795221445,1.0904617552599338,1.044629655079441,0.008999999612569809,0.012000000104308128
3,MLP-medium,xt_only,4625,0.01,0.1950000524520874,-0.02499997615814209,-0.06000000238418579,0.12000000476837158,0.7149999737739563,0.8349999785423279,0.2992680675358631,0.41932199078499854,122,21,0.5173688066248826,0.7548120021820068,3.411546693203996,3.3290842857596514,8.815115487536714,7.273423866636512,1.131892566529819,1.1221784391093468,0.04899999871850014,0.05000000074505806
